Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Eladási_ár;Négyzetméterár
Kecskemét;Belváros;2018;hasznalt;0;ikerhaz;tegla;0;5;2018;;;DK;;0;0;elektromos_infra;55;0;0;168;nm;2 + 0;20900000;380000.00
Nyíregyháza;Bujtos;2018;hasznalt;0;tarsashazi;tegla;0;5;2008;3;2;NY;udvari;0;1;gaz_cirko;85;3;0;0;nm;2 + 2;29500000;347058.82
Érd;Érdliget;2018;hasznalt;0;tarsashazi;tegla;0;5;1974;2;2;DNY;utcai;0;1;gaz_cirko;68;0;4;0;nm;2 + 1;27800000;408823.53
Miskolc;Győri kapu;2018;hasznalt;0;tarsashazi;panel;1;5;1972;10;7;D;udvari;1;1;tavegyedi;51;0;0;0;nm;2 + 0;10000000;196078.43
Debrecen;Nagyerdő;2018;hasznalt;0;tarsashazi;tegla;0;4;1965;3;földszint;K;udvari;0;0;gaz_konvektor;37;0;0;0;nm;1 + 0;12000000;324324.32
Győr;Szitásdomb;2018;hasznalt;1;csaladihaz;tegla;0;3;1970;;;DK;;0;0;faszen_kalyha;25;0;0;826;nm;1 + 1;4106000;164240.00
Nyíregyháza;Jósaváros;2018;hasznalt;0;tarsashazi;panel;0;4;1978;4;2;K;kertre_nezo;0;0;tavegyedi;68;0;0;0;nm;2 + 2;15300000;225000.00
Pécs;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1998;3;földszint;D;utcai;0;1;gaz_konvektor;24;0;0;0;nm;1 + 0;8700000;362500.00
Nyíregyháza;Belváros;2018;hasznalt;0;tarsashazi;panel;0;3;1980;4;1;K;utcai;1;0;tav;53;0;0;0;nm;1 + 2;13500000;254716.98
Debrecen;Tócóskert;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1980;4;3;DNY;udvari;0;0;tav;66;0;0;0;nm;2 + 1;20000000;303030.30
Debrecen;Nagyerdő;2018;hasznalt;0;tarsashazi;tegla;0;4;1992;4;földszint;D;udvari;0;0;gaz_cirko;83;0;0;0;nm;2 + 0;36400000;438554.22
Győr;Nádorváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1960;4;1;DK;udvari;0;1;gaz_cirko;54;0;5;0;nm;2 + 0;20000000;370370.37
Debrecen;Júlia-telep;2018;hasznalt;0;csaladihaz;tegla;0;4;1960;;;NY;;0;0;egyeb;75;0;0;1256;nm;2 + 1;13500000;180000.00
Nyíregyháza;Nyíregyháza;2018;hasznalt;0;tarsashazi;tegla;0;4;1996;4;4;NY;utcai;0;1;gaz_cirko;75;0;0;0;nm;3 + 0;17200000;229333.33
Pécs;Kertváros;2018;hasznalt;0;tarsashazi;panel;0;5;1984;10;4;K;utcai;1;1;tavegyedi;55;0;3;0;nm;2 + 0;13100000;238181.82
Érd;Parkváros;2018;hasznalt;0;sorhaz;tegla;0;5;2012;;;DK;;0;1;gaz_cirko;103;6;0;100;nm;1 + 3;40000000;388349.51
Székesfehérvár;Belváros;2018;hasznalt;0;tarsashazi;panel;1;4;1975;4;2;DNY;utcai;0;0;tavegyedi;53;0;0;0;nm;2 + 0;17800000;335849.06
Nyíregyháza;Érkert;2018;hasznalt;0;csaladihaz;tegla;0;3;1975;;;D;;0;0;gaz_konvektor;46;0;0;580;nm;2 + 0;6500000;141304.35
Szekszárd;Szekszárd;2018;hasznalt;0;tarsashazi;tegla;0;4;1980;3;1;K;kertre_nezo;0;0;gaz_konvektor;40;0;0;0;nm;1 + 0;12600000;315000.00
Debrecen;;2018;hasznalt;0;tarsashazi;tegla;0;3;2004;10;5;;utcai;1;0;gaz_cirko;64;0;5.50;0;nm;2 + 1;20750000;324218.75
Miskolc;Avas II.;2018;hasznalt;0;tarsashazi;panel;0;4;1982;4;2;K;udvari;0;0;tav;37;0;4;0;nm;1 + 1;7350000;198648.65
Tatabánya;Cseri lakótelep;2018;hasznalt;0;tarsashazi;tegla;0;3;1965;4;2;ÉK;utcai;0;0;tavegyedi;51;0;0;0;nm;2 + 0;11500000;225490.20
Nyíregyháza;Belváros;2018;hasznalt;0;csaladihaz;tegla;0;4;2005;;;NY;;0;0;gaz_cirko;85;0;0;1050;nm;3 + 0;16700000;196470.59
Debrecen;Széchenyi-kert;2018;hasznalt;0;tarsashazi;tegla;0;4;2006;;2;DK;utcai;0;0;gaz_cirko;73;0;15;0;nm;4 + 0;32000000;438356.16
Debrecen;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2017;6;5;DNY;kertre_nezo;1;0;tavegyedi;59.63;15.13;0;0;nm;1 + 2;35000000;586952.88
Győr;Révfalu;2018;hasznalt;0;tarsashazi;tegla;0;4;1993;4;3;DNY;utcai;0;0;gaz_cirko;93;0;0;0;nm;2 + 2;36000000;387096.77
Debrecen;Fészek Lakópark;2018;hasznalt;0;csaladihaz;tegla;0;3;1980;;;NY;;0;0;gaz_cirko;54;8;0;713;nm;3 + 0;14750000;273148.15
Debrecen;Belváros;2018;hasznalt;0;tarsashazi;panel;;4;1974;4;4;NY;utcai;0;1;tavegyedi;67;3;0;0;nm;3 + 1;19000000;283582.09
Érd;Tusculánum;2018;uj;0;ikerhaz;csusztatott_zsalus;0;5;2016;;;É;;0;1;gaz_cirko;126;18;0;580;nm;3 + 1;39900000;316666.67
Sopron;Belváros-külső;2018;hasznalt;0;tarsashazi;tegla;0;2;1810;1;1;D;udvari;0;1;gaz_konvektor;38;0;0;0;nm;1 + 0;12500000;328947.37
Kecskemét;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;2001;4;3;K;utcai;0;0;gaz_cirko;51.49;0;0;0;nm;2 + 0;20240000;393086.04
Pécs;Kertváros;2018;hasznalt;0;tarsashazi;panel;0;4;1987;10;8;;kertre_nezo;1;0;tavegyedi;63;0;4;0;nm;3 + 0;13500000;214285.71
Nyíregyháza;Belváros;2018;hasznalt;0;csaladihaz;tegla;;4;1977;;;K;;0;1;gaz_cirko;130;13;0;1960;nm;3 + 0;22000000;169230.77
Érd;Városközpont;2018;hasznalt;0;tarsashazi;panel;1;3;1984;4;1;DNY;kertre_nezo;0;1;tav;57;0;0;0;nm;2 + 0;21200000;371929.82
Szekszárd;Szekszárd;2018;hasznalt;0;tarsashazi;panel;0;2;1970;10;7;K;utcai;1;0;tavegyedi;52;0;0;0;nm;2 + 0;8500000;163461.54
Debrecen;Belváros;2018;hasznalt;0;hazresz;tegla;0;4;1960;;;ÉK;;0;0;gaz_konvektor;50;18;0;130;nm;1 + 1;13400000;268000.00
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;panel;0;5;1980;10;1;;kertre_nezo;1;1;tav;50;0;0;0;nm;2 + 0;18800000;376000.00
Debrecen;Széchenyi-kert;2018;hasznalt;0;tarsashazi;tegla;0;5;2003;7;7;DK;utcai;1;1;gaz_cirko;84;0;5;0;nm;3 + 1;28900000;344047.62
Dunaújváros;Dunaújváros;2018;hasznalt;0;tarsashazi;tegla;0;3;1970;4;földszint;K;udvari;0;0;tav;35;0;0;0;nm;1 + 0;8150000;232857.14
Hódmezővásárhely;Hódmezővásárhely;2018;hasznalt;0;tarsashazi;tegla;0;4;1970;1;földszint;K;kertre_nezo;0;1;gaz_konvektor;70;0;0;0;nm;3 + 0;11000000;157142.86
Debrecen;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2018;4;3;DK;utcai;1;0;megujulo;71.44;4.38;0;0;nm;2 + 1;39447000;552169.65
Debrecen;Tócóskert;2018;hasznalt;0;tarsashazi;panel;0;2;1980;7;6;K;utcai;1;1;tav;40;0;4;;;1 + 1;14300000;357500.00
Nyíregyháza;Jósaváros;2018;hasznalt;0;tarsashazi;panel;0;5;1980;10;6;D;utcai;1;0;tavegyedi;60;0;3;;;2 + 1;15490000;258166.67
Békéscsaba;Mezőmegyer;2018;hasznalt;0;ikerhaz;tegla;0;3;1980;;;DNY;;0;1;gaz_konvektor;100;0;3.60;656;nm;2 + 1;7800000;78000.00
Tatabánya;Újváros;2018;hasznalt;0;tarsashazi;panel;0;4;1975;10;10;ÉK;utcai;1;1;hazkozponti_meresnelkul;38;0;0;0;nm;1 + 1;9700000;255263.16
Nyíregyháza;Hímes;2018;hasznalt;0;tarsashazi;tegla;0;4;1977;4;4;NY;utcai;0;1;tavegyedi;51;0;0;;;1 + 2;12700000;249019.61
Sopron;Lehár Ferenc utcai lakópark;2018;hasznalt;0;tarsashazi;tegla;0;3;1967;1;1;DNY;udvari;0;1;gaz_cirko;118;0;0;0;nm;3 + 0;24900000;211016.95
Székesfehérvár;Búrtelep - Kórház környéke;2018;hasznalt;0;tarsashazi;tegla;0;2;1978;Földszintes;földszint;K;utcai;0;0;gaz_konvektor;43;0;0;0;nm;1 + 0;13800000;320930.23
Sopron;Aranyhegyi lakópark;2018;uj;0;tarsashazi;tegla;0;5;2018;4;földszint;DK;kertre_nezo;1;1;megujulo;39;11.50;0;0;nm;1 + 0;18000000;461538.46
Nyíregyháza;Nyíregyháza;2018;hasznalt;0;tarsashazi;tegla;0;5;1987;4;2;D;udvari;0;0;tavegyedi;60;0;5;0;nm;2 + 0;16300000;271666.67
Pécs;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;1965;4;3;K;utcai;0;1;tavegyedi;37;0;0;0;nm;1 + 0;14240000;384864.86
Debrecen;Júlia-telep;2018;hasznalt;0;tarsashazi;tegla;0;5;2014;3;tetőtér;DK;udvari;0;0;gaz_cirko;105;20;0;0;nm;4 + 0;39900000;380000.00
Debrecen;Fényes-udvar;2018;hasznalt;0;tarsashazi;panel;0;3;1974;10;3;K;kertre_nezo;1;0;tavegyedi;71;0;3;0;nm;2 + 1;16000000;225352.11
Kecskemét;Árpádváros;2018;hasznalt;0;tarsashazi;tegla;0;3;1970;4;földszint;ÉNY;kertre_nezo;0;1;tavegyedi;52;0;4;;;2 + 0;15200000;292307.69
Debrecen;Vénkert;2018;hasznalt;0;tarsashazi;panel;0;4;1980;10;8;NY;utcai;1;0;tav;54;0;0;;;2 + 1;19600000;362962.96
Tatabánya;Újváros;2018;hasznalt;0;tarsashazi;panel;0;4;1970;10;4;D;utcai;1;0;tav;53;0;0;;;2 + 0;13500000;254716.98
Miskolc;Szirma;2018;hasznalt;0;csaladihaz;tegla;0;2;1960;;;DK;;0;1;gaz_konvektor;75;15;0;1633;nm;3 + 0;16300000;217333.33
Debrecen;Nagyerdő alja;2018;hasznalt;0;sorhaz;tegla;0;3;1968;;;NY;;0;0;gaz_konvektor;39;0;0;300;nm;1 + 0;14100000;361538.46
Győr;Nádorváros;2018;hasznalt;0;tarsashazi;tegla;0;3;1968;3;2;K;utcai;0;1;gaz_cserepkalyha;55;0;0;;;2 + 0;16200000;294545.45
Tatabánya;Újváros;2018;hasznalt;0;tarsashazi;tegla;0;3;1960;3;földszint;DNY;utcai;0;0;tav;38;0;0;0;nm;1 + 0;11150000;293421.05
Székesfehérvár;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1960;4;4;DNY;utcai;0;1;gaz_cirko;56;0;2;;;1 + 2;21000000;375000.00
Debrecen;Vargakert;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1975;4;2;K;utcai;1;0;gaz_cirko;61;0;0;;;2 + 0;21000000;344262.30
Debrecen;Sestakert;2018;hasznalt;0;tarsashazi;tegla;0;4;1970;4;földszint;K;kertre_nezo;0;0;gaz_konvektor;43;0;0.50;;;1 + 1;20500000;476744.19
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;panel;0;4;1970;5;3;D;kertre_nezo;0;0;tav;62;0;4;;;2 + 1;18523600;298767.74
Szombathely;Derkovits ltp.;2018;hasznalt;0;tarsashazi;tegla;0;4;1980;4;1;DNY;utcai;0;1;tav;65;0;0;;;3 + 0;15900000;244615.38
Pécs;Mecsekoldal;2018;uj;0;tarsashazi;tegla;0;5;2018;2;földszint;K;kertre_nezo;0;1;hazkozponti;86.62;20.89;0;0;nm;4 + 0;34900000;402909.26
Zalaegerszeg;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;2;1975;4;1;K;utcai;0;1;gaz_konvektor;54;0;7.50;;;2 + 0;13150000;243518.52
Debrecen;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2018;4;4;DNY;utcai;1;1;gaz_cirko;49;5.45;0;0;nm;2 + 0;28280000;577142.86
Debrecen;Hatvan-utcai kert;2018;uj;0;tarsashazi;tegla;0;5;2018;1;1;K;udvari;0;0;gaz_cirko;56.90;0;4.50;0;nm;2 + 1;29050000;510544.82
Érd;Érd;2018;hasznalt;0;csaladihaz;tegla;;3;1993;;;NY;;0;1;gaz_cirko;100;0;0;548;nm;3 + 1;25700000;257000.00
Miskolc;Komlóstető;2018;hasznalt;0;tarsashazi;tegla;0;5;2000;3;alagsor;DNY;kertre_nezo;0;0;gaz_cirko;53;26;0;0;nm;2 + 0;14500000;273584.91
Veszprém;Egyetemváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1960;4;földszint;DK;udvari;0;0;gaz_konvektor;42;0;3.50;;;1 + 0;16000000;380952.38
Pécs;Egyetemváros;2018;hasznalt;0;tarsashazi;panel;1;5;1970;4;2;D;utcai;0;1;tavegyedi;52;0;4;;;2 + 0;17000000;326923.08
Debrecen;Biczó István-kert;2018;uj;0;ikerhaz;tegla;0;5;2018;;;D;;0;0;gaz_cirko;95;17.86;0;635;nm;1 + 3;35800000;376842.11
Pécs;Egyetemváros;2018;hasznalt;0;tarsashazi;tegla;;4;1950;;földszint;D;udvari;0;1;gaz_cirko;47;0;;0;;2 + 0;11400000;242553.19
Zalaegerszeg;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;3;1985;4;2;D;udvari;0;0;gaz_cirko;60;0;0;;;2 + 1;15700000;261666.67
Érd;Érd;2019;hasznalt;0;csaladihaz;tegla;;3;1992;;;DK;;0;1;gaz_cirko;100;14;;560;;2 + 0;23000000;230000.00
Érd;Érd;2019;hasznalt;0;csaladihaz;tegla;0;4;2008;;;DNY;;0;1;gaz_cirko;428;40;0;1060;nm;11 + 0;81000000;189252.34
Miskolc;Belváros;2019;hasznalt;0;csaladihaz;tegla;0;4;2007;;;ÉK;;0;0;gaz_cirko;102;0;0;446;nm;3 + 0;19320000;189411.76
Szombathely;Sugár út környéke;2019;uj;0;tarsashazi;tegla;0;5;2019;3;földszint;K;kertre_nezo;0;0;megujulo;43.64;7.32;0;0;nm;1 + 1;22290000;510769.94
Érd;Érdliget;2019;uj;0;tarsashazi;tegla;0;5;2019;2;földszint;DK;kertre_nezo;0;0;gaz_cirko;68.42;9.42;0;;;2 + 1;26800000;391698.33
Veszprém;Jutasi úti lakótelep;2019;hasznalt;0;tarsashazi;panel;0;4;1974;4;magasföldszint;K;utcai;0;1;tav;52;0;0;0;nm;2 + 0;15950000;306730.77
Békéscsaba;II. kerület;2019;hasznalt;0;tarsashazi;tegla;0;3;1970;4;3;DNY;utcai;0;0;gaz_konvektor;50;0;0;;;2 + 0;9000000;180000.00
Pécs;Meszes;2019;hasznalt;0;tarsashazi;tegla;0;4;1970;3;1;K;utcai;0;1;gaz_konvektor;50;0;0;0;nm;2 + 0;7500000;150000.00
Győr;Ménfőcsanak;2019;uj;0;tarsashazi;tegla;0;5;2018;2;2;K;utcai;0;1;gaz_cirko;96;0;0;0;nm;4 + 0;36000000;375000.00
Debrecen;Belváros;2019;uj;0;tarsashazi;tegla;0;5;2018;4;2;ÉK;utcai;1;0;hazkozponti;74.71;0;9.10;0;nm;1 + 3;41127000;550488.56
Kecskemét;Széchenyiváros;2019;uj;0;tarsashazi;tegla;0;5;2018;2;2;DK;udvari;0;1;gaz_cirko;97;60;0;;;3 + 0;50500000;520618.56
Sopron;Alsó Lővérek;2019;hasznalt;0;tarsashazi;tegla;0;4;1960;1;földszint;DK;udvari;0;1;gaz_cirko;86;0;0;;;3 + 0;25000000;290697.67
Érd;Városközpont;2019;hasznalt;0;csaladihaz;ko;0;3;1930;;;É;;0;0;gaz_konvektor;86;0;0;405;nm;4 + 0;27000000;313953.49
Érd;Fenyves-Parkváros;2019;hasznalt;0;csaladihaz;tegla;0;4;1990;;;NY;;0;1;gaz_cirko;90;0;0;767;nm;2 + 2;36900000;410000.00
Érd;Érdparkváros;2019;uj;0;csaladihaz;tegla;0;5;2018;;;DNY;;0;0;gaz_cirko;120.25;31.17;0;721;nm;2 + 3;57500000;478170.48
Pécs;Egyetemváros;2019;hasznalt;0;tarsashazi;panel;1;4;1985;10;4;NY;utcai;1;1;hazkozponti;47;0;0;;;2 + 0;14400000;306382.98
Pécs;Egyetemváros;2019;hasznalt;0;tarsashazi;panel;1;4;1970;4;2;D;utcai;0;1;tavegyedi;52;0;4;;;2 + 0;15800000;303846.15
Salgótarján;Zagyvapálfalva;2019;hasznalt;0;tarsashazi;panel;0;4;1965;4;4;NY;utcai;0;1;hazkozponti;55;0;0;;;2 + 1;7700000;140000.00
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;2;1966;3;magasföldszint;;utcai;0;1;gaz_konvektor;73;0;6;0;nm;2 + 1;21000000;287671.23
Tatabánya;Gál István ltp.;2019;hasznalt;0;tarsashazi;panel;0;4;1980;10;2;ÉNY;utcai;1;0;tav;54;0;4;;;2 + 1;15500000;287037.04
Debrecen;Belváros;2019;uj;0;tarsashazi;tegla;0;5;2019;4;3;DNY;utcai;1;1;hazkozponti;60.10;0;4;;;1 + 2;40000000;665557.40
Nyíregyháza;Sóstóhegy;2019;hasznalt;0;tarsashazi;tegla;0;4;2008;4;magasföldszint;É;utcai;0;0;gaz_cirko;56;0;0;;;2 + 1;22990000;410535.71
Debrecen;Felső-Józsa;2019;hasznalt;0;csaladihaz;tegla;0;4;1980;;;D;;0;0;gaz_konvektor;39;0;0;1452;nm;1 + 0;9500000;243589.74
Debrecen;Belváros;2019;uj;0;tarsashazi;tegla;0;5;2018;4;1;D;kertre_nezo;1;0;tavegyedi;56;22;0;;;2 + 0;38000000;678571.43
Szolnok;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1923;3;3;K;utcai;0;0;elektromos_infra;39;0;0;;;1 + 0;13500000;346153.85
Szombathely;KISZ ltp.;2019;uj;0;tarsashazi;tegla;0;5;2019;4;3;DK;udvari;0;1;gaz_cirko;38.19;0;0;0;nm;1 + 0;16700000;437287.25
Salgótarján;Sajóvámos;2019;hasznalt;0;tarsashazi;tegla;0;3;1950;4;4;K;utcai;0;1;gaz_konvektor;50;0;4;;;2 + 0;3400000;68000.00
Pécs;Kertváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2018;4;2;NY;utcai;0;1;gaz_cirko;27;2;0;0;nm;1 + 0;15700000;581481.48
Székesfehérvár;Palotaváros;2019;hasznalt;0;tarsashazi;panel;0;3;1980;4;1;ÉNY;udvari;0;1;hazkozponti_meresnelkul;67;0;0;;;2 + 2;23300000;347761.19
Győr;Győrszentiván;2019;hasznalt;0;csaladihaz;konnyuszerkezetes;0;4;1998;;;DK;;0;1;elektromos_infra;50;0;0;1690;nm;2 + 1;11690000;233800.00
Győr;Nádorváros;2019;hasznalt;0;csaladihaz;tegla;0;3;1940;;;ÉK;;0;0;vegyes_kazan;120;0;0;6610;nm;4 + 0;18700000;155833.33
Pécs;Kertváros;2019;hasznalt;0;tarsashazi;panel;0;4;1980;4;1;D;utcai;0;0;hazkozponti;57;0;0;;;2 + 1;13500000;236842.11
Debrecen;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;3;1900;3;3;D;utcai;1;0;tavegyedi;47;0;2.50;0;nm;2 + 0;23900000;508510.64
Szolnok;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;3;1970;4;földszint;ÉNY;kertre_nezo;0;0;gaz_konvektor;35;0;0;;;1 + 0;9300000;265714.29
Székesfehérvár;Maroshegy;2019;hasznalt;0;csaladihaz;tegla;0;5;1970;;;DK;;0;0;gaz_cirko;65.60;0;0;412;nm;2 + 0;23850000;363567.07
Nyíregyháza;Jósaváros;2019;hasznalt;0;tarsashazi;panel;1;3;1989;4;földszint;K;utcai;0;0;tavegyedi;34;0;0;;;1 + 1;13240000;389411.76
Veszprém;Veszprém;2019;hasznalt;0;tarsashazi;panel;1;4;1980;4;magasföldszint;NY;udvari;0;0;hazkozponti;32;0;0;;;1 + 0;13300000;415625.00
Debrecen;Nagyerdő;2019;hasznalt;0;tarsashazi;tegla;0;4;1968;4;magasföldszint;NY;kertre_nezo;0;0;gaz_cirko;57;0;0;;;2 + 0;31000000;543859.65
Szekszárd;Szekszárd;2019;hasznalt;0;tarsashazi;panel;0;4;1975;4;magasföldszint;D;utcai;0;1;tavegyedi;40;0;0;0;nm;1 + 0;14000000;350000.00
Debrecen;Wesselényi-lakótelep;2019;hasznalt;0;csaladihaz;vegyesfalazatu;0;2;1975;;;ÉK;;0;0;egyeb;57;0;0;390;nm;1 + 2;9500000;166666.67
Sopron;Kertváros (Sopronbánfalva);2019;hasznalt;0;csaladihaz;tegla;0;4;1950;;;É;;0;1;gaz_cirko;85;0;4;80;nm;3 + 0;19900000;234117.65
Miskolc;Belváros;2019;hasznalt;0;csaladihaz;tegla;0;4;1960;;;DK;;0;0;gaz_konvektor;35;0;0;382;nm;1 + 0;8700000;248571.43
Pécs;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;2;1970;6;4;K;utcai;1;1;tavegyedi;69;0;2;;;3 + 0;19500000;282608.70
Kecskemét;Műkertváros;2019;hasznalt;0;csaladihaz;tegla;0;5;1990;;;K;;0;1;gaz_cirko;118;20;0;1310;nm;5 + 0;31000000;262711.86
Miskolc;Győri kapu;2019;hasznalt;0;tarsashazi;panel;1;4;1970;10;1;D;udvari;1;0;tavegyedi;60;0;2;;;2 + 1;14393022;239883.70
Debrecen;Belváros;2019;hasznalt;0;tarsashazi;panel;0;4;1975;10;7;É;utcai;1;1;tavegyedi;69;0;2;;;2 + 2;20000000;289855.07
Salgótarján;Vásártér;2019;hasznalt;0;tarsashazi;tegla;0;2;1960;4;2;NY;utcai;0;1;gaz_konvektor;35;0;0.50;;;1 + 0;3000000;85714.29
Pécs;Kertváros;2019;hasznalt;0;tarsashazi;panel;0;4;1987;10;6;K;utcai;1;0;tavegyedi;52;0;4;;;2 + 0;13300000;255769.23
Tatabánya;Sárberki ltp.;2019;hasznalt;0;tarsashazi;panel;0;3;1979;4;4;D;udvari;0;1;tav;50;0;0;;;2 + 0;13370000;267400.00
Tatabánya;Újváros;2019;hasznalt;0;tarsashazi;tegla;0;3;1970;4;1;NY;udvari;0;1;tav;49;0;8;;;2 + 0;18000000;367346.94
